,Unnamed: 0,sensor_id,location,lat,lon,timestamp,pressure,temperature,humidity
167,463,3432,1729,42.71,23.419,2017-07-01T00:11:19,95329.92,24.68,53.18
168,465,2230,1121,42.692,23.332,2017-07-01T00:11:21,95059.17,27.34,45.63
169,467,2294,1155,42.645,23.265,2017-07-01T00:11:22,92627.98,23.88,45.75
170,471,2264,1139,42.67100000000001,23.31,2017-07-01T00:11:27,94737.75,24.83,59.23
171,472,1850,925,42.677,23.311,2017-07-01T00:11:28,94822.57,24.43,59.06
172,473,2234,1123,42.685,23.356,2017-07-01T00:11:32,94904.38,27.45,40.71
173,480,3558,1793,42.67100000000001,23.364,2017-07-01T00:11:42,94809.2,26.82,41.23
174,481,2262,1138,42.691,23.324,2017-07-01T00:11:50,94854.56,26.03,46.11
175,484,1764,879,42.622,23.366,2017-07-01T00:11:55,93921.58,24.1,53.94
176,486,3620,1824,42.678,23.254,2017-07-01T00:11:58,94407.95,25.23,57.85
177,491,3836,1933,42.702,23.371,2017-07-01T00:12:09,95307.27,23.75,54.67
178,492,2038,1024,42.694,23.32,2017-07-01T00:12:10,95021.73,28.91,39.57
179,493,2323,1172,42.68600000000001,23.4,2017-07-01T00:12:10,95164.69,24.23,51.77
180,500,2266,1140,42.738,23.272,2017-07-01T00:12:19,95269.0,23.13,63.87
181,503,2292,1154,42.663,23.273000000000003,2017-07-01T00:12:21,94343.6,23.12,60.11
182,504,1952,976,42.709,23.398000000000003,2017-07-01T00:12:21,95317.34,22.41,56.64
183,510,3428,1727,42.624,23.406,2017-07-01T00:12:25,94688.68,28.16,40.45
184,511,1846,923,42.64,23.31,2017-07-01T00:12:28,93616.27,23.67,52.7
185,513,3096,1558,42.7,23.36,2017-07-01T00:12:29,95147.36,26.52,44.62
186,518,3512,1770,42.683,23.335,2017-07-01T00:12:36,94957.34,24.68,55.47
187,519,3472,1750,42.669,23.318,2017-07-01T00:12:37,94322.03,26.5,47.15
188,522,2228,1120,42.693000000000005,23.333,2017-07-01T00:12:41,94985.61,26.11,46.11
189,529,3438,1732,42.738,23.293000000000003,2017-07-01T00:12:50,95098.86,24.39,58.32
190,530,1954,977,42.70399999999999,23.354,2017-07-01T00:12:51,95071.54,26.08,45.03
191,532,3092,1556,42.666,23.284,2017-07-01T00:12:57,94528.7,24.28,0.0
192,537,3436,1731,42.693000000000005,23.359,2017-07-01T00:13:05,94933.41,26.49,45.26
193,540,1962,981,42.69,23.324,2017-07-01T00:13:09,94933.63,25.9,46.52
194,541,2036,1023,42.657,23.349,2017-07-01T00:13:11,94508.23,23.53,52.9
195,542,3474,1751,42.68,23.293000000000003,2017-07-01T00:13:11,94623.8,26.29,49.53
196,545,2232,1122,42.685,23.301,2017-07-01T00:13:21,94678.09,25.21,52.87
197,547,2607,1313,42.66,23.319000000000003,2017-07-01T00:13:22,94419.48,24.26,55.62
198,550,3738,1884,42.7,23.332,2017-07-01T00:13:29,95210.28,27.57,42.36
199,552,3102,1561,42.665,23.392,2017-07-01T00:13:34,95046.9,25.73,44.24
200,553,2040,1025,42.68600000000001,23.351,2017-07-01T00:13:35,94957.01,25.36,48.31
201,554,2224,1118,42.651,23.335,2017-07-01T00:13:37,94442.15,24.87,49.38
202,559,2216,1114,42.664,23.373,2017-07-01T00:13:42,94791.36,26.25,45.66
203,563,3432,1729,42.71,23.419,2017-07-01T00:13:45,95335.02,24.58,53.37
204,565,2230,1121,42.692,23.332,2017-07-01T00:13:48,95059.09,27.36,45.97
205,566,2294,1155,42.645,23.265,2017-07-01T00:13:49,92628.08,23.9,45.23
206,569,2264,1139,42.67100000000001,23.31,2017-07-01T00:13:54,94744.21,24.71,59.31
207,571,1850,925,42.677,23.311,2017-07-01T00:13:55,94826.16,24.34,59.22
208,577,2234,1123,42.685,23.356,2017-07-01T00:14:06,94913.2,27.82,38.99
209,579,3558,1793,42.67100000000001,23.364,2017-07-01T00:14:09,94802.83,26.72,42.47
210,580,2262,1138,42.691,23.324,2017-07-01T00:14:17,94848.92,26.17,45.87
211,582,1764,879,42.622,23.366,2017-07-01T00:14:21,93919.53,23.96,53.22
212,590,2038,1024,42.694,23.32,2017-07-01T00:14:36,95028.23,29.04,39.32
213,591,3836,1933,42.702,23.371,2017-07-01T00:14:36,95306.73,24.0,53.34
214,593,2323,1172,42.68600000000001,23.4,2017-07-01T00:14:37,95159.78,24.08,52.02
215,598,2266,1140,42.738,23.272,2017-07-01T00:14:46,95262.76,23.47,62.36
216,601,2292,1154,42.663,23.273000000000003,2017-07-01T00:14:47,94345.8,23.08,59.55
217,602,1952,976,42.709,23.398000000000003,2017-07-01T00:14:47,95313.56,22.35,56.82
218,603,3620,1824,42.678,23.254,2017-07-01T00:14:48,94442.59,25.31,58.17
219,607,3428,1727,42.624,23.406,2017-07-01T00:14:51,94694.94,28.19,40.26
220,609,1846,923,42.64,23.31,2017-07-01T00:14:54,93623.03,23.57,54.38
221,614,3096,1558,42.7,23.36,2017-07-01T00:14:57,95142.91,26.49,44.55
222,617,3512,1770,42.683,23.335,2017-07-01T00:15:03,94954.8,24.29,57.19
223,618,3472,1750,42.669,23.318,2017-07-01T00:15:05,94317.58,26.33,48.0
224,621,2228,1120,42.693000000000005,23.333,2017-07-01T00:15:08,94980.92,25.97,46.79
225,627,3438,1732,42.738,23.293000000000003,2017-07-01T00:15:16,95098.42,24.34,59.66
226,629,1954,977,42.70399999999999,23.354,2017-07-01T00:15:18,95068.55,26.14,44.93
227,633,3092,1556,42.666,23.284,2017-07-01T00:15:24,94532.51,24.26,0.0
228,639,3436,1731,42.693000000000005,23.359,2017-07-01T00:15:34,94940.83,26.45,45.29
229,641,1962,981,42.69,23.324,2017-07-01T00:15:36,94929.19,25.82,46.65
230,642,3474,1751,42.68,23.293000000000003,2017-07-01T00:15:37,94623.05,26.13,49.88
231,643,2036,1023,42.657,23.349,2017-07-01T00:15:39,94487.66,23.82,51.82
232,645,2232,1122,42.685,23.301,2017-07-01T00:15:47,94671.02,25.3,52.79
233,647,2607,1313,42.66,23.319000000000003,2017-07-01T00:15:48,94417.59,24.42,55.11
234,651,3738,1884,42.7,23.332,2017-07-01T00:15:56,95212.18,27.5,42.5
235,652,3102,1561,42.665,23.392,2017-07-01T00:16:00,95029.7,25.56,44.66
236,653,2040,1025,42.68600000000001,23.351,2017-07-01T00:16:02,94941.98,25.13,47.76
237,655,2224,1118,42.651,23.335,2017-07-01T00:16:05,94440.66,24.69,49.49
238,659,2216,1114,42.664,23.373,2017-07-01T00:16:08,94777.47,25.86,46.13
239,663,3432,1729,42.71,23.419,2017-07-01T00:16:12,95329.28,24.7,53.18
